;Papel;Cotação;EV/EBIT;ROIC;EVOrdenado;ROICOrdenado;Score;sector
1;CMIN3.SA;6.74;2.65;0.7714;16;1;17;Basic Materials
4;TASA4.SA;22.5;4.01;0.49060000000000004;26;4;30;Industrials
5;AURA33.SA;45.15;3.65;0.43060000000000004;22;5;27;Basic Materials
6;UNIP3.SA;97.3;4.75;0.42369999999999997;37;6;43;Basic Materials
7;UNIP6.SA;98.6;4.82;0.42369999999999997;38;7;45;Basic Materials
8;VALE3.SA;101.97;3.0;0.4202;18;8;26;Basic Materials
9;ETER3.SA;14.8;2.44;0.4039;12;9;21;Industrials
10;PLPL3.SA;3.13;2.13;0.39049999999999996;8;10;18;Real Estate
11;MRFG3.SA;20.96;2.63;0.386;15;11;26;Consumer Defensive
12;CSNA3.SA;29.0;2.62;0.3845;14;12;26;Basic Materials
13;SYNE3.SA;7.23;1.25;0.3795;4;13;17;Real Estate
14;ODPV3.SA;11.88;10.18;0.3728;104;14;118;Healthcare
15;BRKM5.SA;47.4;2.21;0.3726;11;15;26;Basic Materials
16;BLAU3.SA;27.78;9.56;0.3602;101;16;117;Healthcare
17;USIM3.SA;14.59;1.72;0.342;5;17;22;Basic Materials
18;USIM5.SA;15.83;1.87;0.342;6;18;24;Basic Materials
19;AGRO3.SA;34.16;4.2;0.31829999999999997;29;19;48;Consumer Defensive
20;GGBR4.SA;29.4;3.09;0.3171;20;20;40;Basic Materials
21;GGBR3.SA;23.4;2.54;0.3171;13;21;34;Basic Materials
22;GOAU3.SA;10.45;0.95;0.31670000000000004;1;22;23;Basic Materials
23;GOAU4.SA;11.83;1.03;0.31670000000000004;2;23;25;Basic Materials
24;FESA4.SA;49.0;4.93;0.3125;39;24;63;Basic Materials
26;LEVE3.SA;26.66;4.98;0.2923;40;26;66;Consumer Cyclical
27;RANI3.SA;5.9;4.3;0.2564;33;27;60;Consumer Cyclical
28;JALL3.SA;10.94;5.81;0.25379999999999997;48;28;76;Consumer Defensive
29;TFCO4.SA;10.2;20.31;0.2527;153;29;182;Consumer Cyclical
30;KEPL3.SA;56.72;8.11;0.2484;89;30;119;Industrials
31;QUAL3.SA;13.18;6.09;0.24489999999999998;55;31;86;Healthcare
32;WEGE3.SA;31.51;30.06;0.23399999999999999;172;32;204;Industrials
33;FHER3.SA;18.57;3.01;0.2332;19;33;52;Basic Materials
34;CURY3.SA;7.05;5.31;0.2327;41;34;75;Real Estate
35;ASAI3.SA;12.71;7.01;0.22440000000000002;70;35;105;Consumer Defensive
36;BEEF3.SA;10.96;6.31;0.2235;58;36;94;Consumer Defensive
37;SOJA3.SA;15.5;12.04;0.2182;119;37;156;Basic Materials
40;INTB3.SA;31.87;26.88;0.21280000000000002;170;40;210;Technology
42;PARD3.SA;17.37;6.18;0.2069;56;42;98;Healthcare
43;VITT3.SA;13.9;15.26;0.1967;137;43;180;Basic Materials
44;ALLD3.SA;13.0;3.15;0.1942;21;44;65;Technology
46;BMOB3.SA;13.78;6.63;0.1892;66;46;112;Communication Services
47;JBSS3.SA;35.83;5.4;0.1861;42;47;89;Consumer Defensive
48;PTBL3.SA;8.47;5.72;0.1848;45;48;93;Industrials
49;LPSB3.SA;3.28;6.65;0.1777;67;49;116;Real Estate
50;RENT3.SA;53.21;14.82;0.17670000000000002;135;50;185;Industrials
51;VIVA3.SA;26.06;19.93;0.1764;152;51;203;Consumer Cyclical
52;DEXP3.SA;8.8;5.49;0.1746;43;52;95;Basic Materials
53;SUZB3.SA;57.33;8.29;0.17420000000000002;91;53;144;Basic Materials
54;KLBN11.SA;24.32;8.92;0.1736;95;54;149;Basic Materials
55;KLBN4.SA;4.62;8.67;0.1736;93;55;148;Basic Materials
60;TOTS3.SA;32.48;17.15;0.16519999999999999;144;60;204;Technology
61;TGMA3.SA;15.29;8.06;0.1629;88;61;149;Industrials
62;RAPT4.SA;10.08;4.26;0.1625;31;62;93;Industrials
63;LAVV3.SA;5.05;2.18;0.1624;10;63;73;Real Estate
64;ABEV3.SA;13.93;13.28;0.15960000000000002;125;64;189;Consumer Defensive
69;TTEN3.SA;11.0;15.83;0.1565;139;69;208;Basic Materials
70;MOVI3.SA;15.05;6.92;0.1547;69;70;139;Industrials
71;JHSF3.SA;5.05;4.02;0.1507;27;71;98;Real Estate
72;DXCO3.SA;13.49;8.15;0.1507;90;72;162;Basic Materials
73;SMTO3.SA;43.0;11.08;0.1482;113;73;186;Consumer Defensive
74;SLCE3.SA;50.86;8.03;0.1481;87;74;161;Consumer Defensive
75;FLRY3.SA;17.85;10.78;0.14800000000000002;110;75;185;Healthcare
77;LCAM3.SA;23.77;10.99;0.1384;111;77;188;Industrials
78;ECOR3.SA;6.38;6.33;0.138;60;78;138;Industrials
79;FRAS3.SA;13.23;10.78;0.1365;109;79;188;Consumer Cyclical
80;VAMO3.SA;10.93;17.16;0.1349;145;80;225;Industrials
81;TECN3.SA;2.05;2.94;0.1308;17;81;98;Consumer Cyclical
